"","environment","bloc","location","year","name","zone","maturity","height","lodging","seedwt_1000","yield_kgha"
"172","CODETTE_2019","1","CODETTE","2019","FP2595","3",115,63.5,NA,6.65,13.2968535
"173","CODETTE_2019","1","CODETTE","2019","FP2594","3",114,74,NA,6.61,13.2216595
"174","CODETTE_2019","1","CODETTE","2019","ND Hammond","3",108,70,NA,5.7,13.15608
"175","CODETTE_2019","1","CODETTE","2019","CDC Buryu","3",108,77.5,NA,6.15,13.08181875
"176","CODETTE_2019","1","CODETTE","2019","AAC Prairie Sunshine","3",114,77,NA,5.88,13.028652
"177","CODETTE_2019","1","CODETTE","2019","FP2592","3",115,74.5,NA,6.99,10.55263125
"178","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","FP2593","1",112,56,NA,6.88,23.618055
"179","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","FP2590","1",123,54,NA,6.66,23.18261
"180","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","FP2594","1",118,56,NA,6.46,22.579265
"181","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","FP2589","1",118,54,NA,6.86,22.431805
"182","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","FP2595","1",112,52,NA,6.23,21.71093
"183","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","FP2567","1",110,60,NA,6.31,21.5569
"184","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","CDC Glas","1",110,56,NA,5.26,21.32841
"185","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","FP2573","1",110,56,NA,6.06,21.24154
"186","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","CDC Glas","1",110,58,NA,5.2,20.88676
"187","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","FP2592","1",113,54,NA,6.87,20.827995
"188","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","CDC Buryu","1",110,60,NA,5.7,20.784925
"189","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","FP2595","1",112,54,NA,6.24,20.742585
"190","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","FP2567","1",110,60,NA,6.57,20.69331
"191","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","FP2566","1",112,56,NA,5.84,20.586365
"192","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","FP2590","1",118,58,NA,6.48,20.52687
"193","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","AAC Bright","1",112,52,NA,5.8,20.129385
"194","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","AAC Marvelous","1",123,54,NA,5.88,19.81585
"195","INDIAN_HEAD_2019","1","INDIAN_HEAD","2019","FP2591","1",123,52,NA,6.52,19.701605
"196","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","CDC Buryu","1",110,54,NA,5.59,19.68956
"197","INDIAN_HEAD_2019","2","INDIAN_HEAD","2019","FP2591","1",118,50,NA,6.37,19.643205
"198","INDIAN_HEAD_2019","3","INDIAN_HEAD","2019","FP2591","1",123,56,NA,6.41,19.58152
