"","bloc","location","year","name","zone","maturity","height","lodging","seedwt_1000","yield_kgha","environment"
"136",3,"CODETTE","2019","FP2567","3",114,85,NA,7.05,20.58399875,"CODETTE_2019"
"137",2,"CODETTE","2019","AAC Marvelous","3",114,69,NA,6.4,20.303528,"CODETTE_2019"
"138",2,"CODETTE","2019","FP2567","3",115,73.5,NA,7.11,20.25072,"CODETTE_2019"
"139",1,"CODETTE","2019","FP2593","3",115,76,NA,7.1,19.933298,"CODETTE_2019"
"140",1,"CODETTE","2019","AAC Marvelous","3",109,75,NA,6.33,19.816776,"CODETTE_2019"
"141",3,"CODETTE","2019","FP2594","3",116,80,NA,6.77,19.75844325,"CODETTE_2019"
"142",3,"CODETTE","2019","AAC Marvelous","3",114,81.5,NA,6.22,19.602674,"CODETTE_2019"
"143",2,"CODETTE","2019","CDC Dorado","3",112,70.5,NA,6.21,19.55783025,"CODETTE_2019"
"144",1,"CODETTE","2019","FP2590","3",115,66.5,NA,6.81,19.542691,"CODETTE_2019"
"145",2,"CODETTE","2019","ND Hammond","3",109,79.5,NA,5.67,19.464627,"CODETTE_2019"
"146",1,"CODETTE","2019","FP2566","3",115,70,NA,6.29,19.425021,"CODETTE_2019"
"147",2,"CODETTE","2019","FP2595","3",114,68.5,NA,6.6,19.41318225,"CODETTE_2019"
"148",2,"CODETTE","2019","FP2592","3",114,82.5,NA,7.08,19.39682325,"CODETTE_2019"
"149",3,"CODETTE","2019","FP2573","3",108,76,NA,6.49,19.14627225,"CODETTE_2019"
"150",2,"CODETTE","2019","Topaz","3",108,66,NA,6.17,18.950036,"CODETTE_2019"
"151",3,"CODETTE","2019","FP2566","3",115,77,NA,6.4,18.68083,"CODETTE_2019"
"152",3,"CODETTE","2019","AAC Bright","3",112,74.5,NA,6.12,18.5305855,"CODETTE_2019"
"153",1,"CODETTE","2019","AAC Bright","3",114,71.5,NA,6.01,18.481365,"CODETTE_2019"
"154",2,"CODETTE","2019","AAC Bright","3",112,74.5,NA,6.22,18.474764,"CODETTE_2019"
"155",3,"CODETTE","2019","CDC Rowland","3",114,74,NA,7.21,18.278169,"CODETTE_2019"
"156",1,"CODETTE","2019","FP2591","3",116,74,NA,7.03,18.17248125,"CODETTE_2019"
"157",3,"CODETTE","2019","CDC Dorado","3",115,75,NA,6.16,17.98865775,"CODETTE_2019"
